Elevation,Treatment,spp
8k,control,27
8k,control,29
8k,control,26
8k,control,27
8k,control,28
8k,control,28
8k,control,27
8k,control,25
8k,control,24
8k,control,29
8k,clear_cut,20
8k,clear_cut,20
8k,clear_cut,22
8k,clear_cut,23
8k,clear_cut,18
8k,clear_cut,19
8k,clear_cut,18
8k,clear_cut,20
8k,clear_cut,19
8k,clear_cut,18
10k,control,16
10k,control,14
10k,control,16
10k,control,18
10k,control,17
10k,control,15
10k,control,16
10k,control,17
10k,control,18
10k,control,16
10k,clear_cut,15
10k,clear_cut,14
10k,clear_cut,16
10k,clear_cut,16
10k,clear_cut,16
10k,clear_cut,16
10k,clear_cut,15
10k,clear_cut,16
10k,clear_cut,17
10k,clear_cut,15
8k,control,46
8k,control,45
8k,control,43
8k,control,44
8k,control,42
8k,control,43
8k,control,44
8k,control,43
8k,control,41
8k,control,42
8k,clear_cut,30
8k,clear_cut,29
8k,clear_cut,28
8k,clear_cut,32
8k,clear_cut,28
8k,clear_cut,31
8k,clear_cut,31
8k,clear_cut,28
8k,clear_cut,28
8k,clear_cut,25
10k,control,24
10k,control,28
10k,control,25
10k,control,26
10k,control,26
10k,control,25
10k,control,24
10k,control,25
10k,control,28
10k,control,30
10k,clear_cut,9
10k,clear_cut,13
10k,clear_cut,10
10k,clear_cut,13
10k,clear_cut,9
10k,clear_cut,10
10k,clear_cut,12
10k,clear_cut,12
10k,clear_cut,12
10k,clear_cut,13
