band,species,beak_length_mm,beak_depth_mm
19022,fortis,10,8.5
19028,fortis,12.5,8.9
19032,fortis,9.3,7.5
19041,fortis,10.3,9.6
19044,fortis,11,9.2
19048,fortis,10.1,8.2
19072,fortis,9.6,7.8
19082,fortis,10.9,8.6
19104,fortis,10.3,8.4
19114,fortis,9.8,7.7
19121,fortis,10.1,8
19126,fortis,10.4,8.7
19146,fortis,9.6,8.1
19164,fortis,10.6,8.8
19174,fortis,10.6,9.4
19203,fortis,11.9,10
19210,fortis,11.3,9.6
19217,fortis,11.3,9.6
19224,fortis,9.7,8.1
19226,fortis,9.7,7.5
19252,fortis,10.1,8.4
19263,fortis,10,7.9
19274,fortis,10,8.3
19280,fortis,10,8.9
19288,fortis,11.5,9.1
19328,fortis,9.5,7.7
19349,fortis,11.2,8.3
19362,fortis,10.7,8.6
19372,fortis,10,8.4
19382,fortis,9.8,7.7
19384,fortis,10.9,9.1
19392,fortis,9.2,7.7
19394,fortis,10.2,9
19422,fortis,11.3,10.2
19439,fortis,10.3,8.1
19461,fortis,10.7,8.6
19482,fortis,10,8.4
19502,fortis,9.7,8.1
19511,fortis,9.9,8
19536,fortis,10.7,8.3
19563,fortis,11,10.3
19568,fortis,9.7,8
19602,fortis,10.5,8.8
19604,fortis,11.7,9
19614,fortis,10.8,9.3
19623,fortis,9.1,7.6
19627,fortis,10.9,8.2
19642,fortis,12.2,10
19649,fortis,10.9,8.2
19654,fortis,10.7,8.2
19674,fortis,10.4,8.3
19682,fortis,9.7,7.8
19712,fortis,10.3,8
19734,fortis,9.8,8.4
19746,fortis,10.6,9.3
19749,fortis,10.5,8.9
19774,fortis,12.5,9.7
19782,fortis,9.2,7.6
19815,fortis,10.1,9
19820,fortis,10.6,8.6
19821,fortis,11.5,8.9
19829,fortis,10.8,8.6
19832,fortis,10.5,8.8
19835,fortis,10.1,8.5
19840,fortis,10.7,9.2
19849,fortis,9.6,8
19874,fortis,10.7,9.4
19878,fortis,10.1,7.7
19889,fortis,10,8.4
19914,fortis,10,8.5
19921,fortis,10.4,9
19922,fortis,10.4,9
19928,fortis,11.7,9.3
19932,fortis,10.6,8.7
19942,fortis,11.5,8.1
19946,fortis,10.7,8.7
19947,fortis,10.4,7.9
19952,fortis,10.1,7.7
19974,fortis,10.8,8.4
19993,fortis,11.5,9.25
19994,fortis,11.1,8.1
21049,fortis,9.9,8.3
21052,fortis,10.5,8.5
21080,fortis,12.2,9.9
21082,fortis,10.9,8.4
21087,fortis,12.9,9.9
21088,fortis,9.7,7.2
21089,fortis,9.7,8.2
21090,fortis,10,8.2
21129,fortis,10.1,8.3
21160,fortis,10.2,8.4
21161,fortis,9.6,7.5
21162,fortis,9.9,8.2
21165,fortis,10.6,8.6
21169,fortis,9.8,8.2
21191,fortis,11.1,8.8
21244,fortis,10,8.5
21247,fortis,10.9,8.1
21249,fortis,10,8.3
21258,fortis,10.6,8.5
21259,fortis,10.7,8.1
21261,fortis,9.4,7.3
21262,fortis,10.1,8
21265,fortis,11.8,10.2
21266,fortis,12.2,11.1
21272,fortis,12.9,9.9
21273,fortis,10.1,8.7
21276,fortis,10.1,8.3
21277,fortis,9,7.8
21282,fortis,11.7,9.9
21283,fortis,10.9,10.3
21287,fortis,10.4,8.4
21293,fortis,12.7,8.7
21294,fortis,10.5,9.8
21296,fortis,9.6,8.7
21298,fortis,10.6,9
21299,fortis,10.4,7.8
21341,fortis,10.5,8.5
21343,fortis,10.1,8.2
21349,fortis,10.6,9.2
22000,fortis,10.6,9
