month,taxa,body_length_mm,body_mass_g
3,beetle,26.884548160372614,17.394150868584237
7,beetle,32.11064049405855,11.29286383567186
11,beetle,21.43654471801336,4.398124794806741
3,beetle,25.04325644747705,26.195227489022002
7,beetle,17.705434307923625,12.61050727577911
11,beetle,31.882620913094385,15.236453533423306
3,beetle,11.007306105026174,3.8100604081375784
7,beetle,25.813947576949676,10.865412718946573
11,beetle,26.325726731310105,11.953490065193371
3,beetle,17.903802985397483,19.035075487816464
7,beetle,26.804748405145116,6.225279880857704
11,beetle,33.83273652380097,10.65800413126248
3,beetle,30.88854030985266,6.91365912590668
7,beetle,30.83313719181757,19.64087118942956
11,beetle,17.41853825258665,6.974495621566106
3,spider,17.855307568576947,4.766605124300711
7,spider,26.235399449258402,4.329809815473235
11,spider,28.66966957994174,15.76150587829379
3,spider,31.370784412471725,18.50075838893617
7,spider,20.33521810873271,3.7279148681667422
11,spider,20.702438761192287,12.719307006250965
3,spider,26.627908892822582,6.102338187694498
7,spider,29.950932884364853,20.97430457548692
11,spider,24.390936515829992,12.543650181523477
3,spider,23.240228108567617,15.196864121009806
7,spider,20.24240549513639,2.0199741647852996
11,spider,25.250930416494796,16.027742301007123
3,spider,27.40893443520097,9.770493338837849
7,spider,25.394204316394113,12.566746542909307
11,spider,26.542222189722818,11.907700526556317
